Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
849206800,1.90734863281e-06,73972,-167,301,-905,32760,32760,-32760,35,-3,230,-11034,-8648,-10074,0,0
849218252,0.0117318630219,73973,-93,217,-956,32760,32760,-32760,35,-3,230,-11034,-8648,-10074,0,0
849229703,0.0232918262482,73974,-67,175,-1028,32760,32760,-32760,35,-3,230,-11155,-8538,-10088,0,0
849241155,0.0365648269653,73975,33,175,-969,32760,32760,-32760,35,-3,230,-11155,-8538,-10088,0,0
849252607,0.0461668968201,73976,53,66,-879,32760,32760,-32760,35,-3,230,-11023,-8539,-9979,0,0
849264058,0.0583419799805,73977,165,-173,-877,32760,32760,-32760,35,-3,230,-11233,-8580,-9934,0,0
849275511,0.0688478946686,73978,29,-156,-707,32760,32760,-32760,35,-3,230,-11233,-8580,-9934,0,0
849286962,0.0811178684235,73979,100,-166,-816,32760,32760,-32760,35,-3,230,-11255,-8768,-9511,0,0
849298416,0.0923700332642,73980,147,-157,-899,32760,32760,-32760,35,-3,230,-11255,-8768,-9511,0,0
849309866,0.104794025421,73981,-71,-40,-900,32760,32760,-32760,35,-3,230,-11366,-8828,-9897,0,0
849321318,0.115114927292,73982,-77,218,-1109,32760,32760,-32760,35,-3,230,-11366,-8828,-9897,0,0
849332770,0.127362012863,73983,-199,159,-998,32760,32760,-32760,35,-3,230,-11247,-8658,-10016,0,0
849344223,0.144071817398,73984,-281,292,-966,32760,32760,-32760,35,-3,230,-10972,-8564,-10113,0,0
849355677,0.149087905884,73985,-280,225,-941,32760,32760,-32760,35,-3,230,-10972,-8564,-10113,0,0
849367128,0.163307905197,73986,-218,55,-999,32760,32760,-32760,35,-3,230,-11160,-8615,-9812,0,0
849378580,0.172243833542,73987,-108,26,-902,32760,32760,-32760,35,-3,230,-11160,-8615,-9812,0,0
849390031,0.184595823288,73988,-45,-27,-880,32760,32760,-32760,35,-3,230,-11074,-8631,-10110,0,0
849401485,0.195963859558,73989,106,-143,-945,32760,32760,-32760,35,-3,230,-11074,-8631,-10110,0,0
849412939,0.2070748806,73990,81,-164,-1004,32760,32760,-32760,35,-3,230,-11067,-8668,-10085,0,0
849424393,0.221167802811,73991,-18,-120,-854,32760,32760,-32760,35,-3,230,-11204,-8738,-9832,0,0
849435844,0.238456964493,73992,180,-51,-950,32760,32760,-32760,35,-3,230,-11204,-8738,-9832,0,0
849447297,0.24619603157,73993,-92,30,-860,32760,32760,-32760,35,-3,230,-11176,-8882,-9959,0,0
849458748,0.25231385231,73994,-231,154,-874,32760,32760,-32760,35,-3,230,-11176,-8882,-9959,0,0
849470202,0.267632961273,73995,-253,33,-1007,32760,32760,-32760,35,-3,230,-11239,-8726,-9818,0,0
849481653,0.275310993195,73996,-227,22,-989,32760,32760,-32760,35,-3,230,-11239,-8726,-9818,0,0
849493104,0.287451028824,73997,-284,167,-877,32760,32760,-32760,35,-3,230,-11081,-8588,-9935,0,0
849504557,0.298161029816,73998,-207,174,-853,32760,32760,-32760,35,-3,230,-11069,-8594,-10022,0,0
849516010,0.310149908066,73999,-222,-4,-918,32760,32760,-32760,35,-3,230,-11069,-8594,-10022,0,0
849527462,0.321197986603,74000,-188,-86,-926,32760,32760,-32760,35,-3,230,-11099,-8710,-9851,0,0
849538913,0.332765817642,74001,-55,-4,-840,32760,32760,-32760,35,-3,230,-11099,-8710,-9851,0,0
849550364,0.343753814697,74002,-108,100,-882,32760,32760,-32760,35,-3,230,-11052,-8698,-10139,0,0
849561816,0.357053995132,74003,-159,102,-880,32760,32760,-32760,35,-3,230,-11052,-8698,-10139,0,0
849573268,0.375027894974,74004,-39,-37,-920,32760,32760,-32760,35,-3,230,-11095,-8667,-9660,0,0
849584720,0.378708839417,74005,-136,11,-971,32760,32760,-32760,35,-3,230,-11155,-8648,-10186,0,0
849596173,0.390024900436,74006,-104,192,-848,32760,32760,-32760,35,-3,230,-11155,-8648,-10186,0,0
849607626,0.401300907135,74007,-94,-1,-889,32760,32760,-32760,35,-3,230,-11098,-8711,-10228,0,0
849619075,0.413105010986,74008,-19,-60,-914,32760,32760,-32760,35,-3,230,-11098,-8711,-10228,0,0
849630526,0.424686908722,74009,0,-100,-889,32760,32760,-32760,35,-3,230,-11118,-8639,-10100,0,0
849641977,0.440312862396,74010,31,-109,-835,32760,32760,-32760,35,-3,230,-11118,-8639,-10100,0,0
849653430,0.448648929596,74011,-112,-23,-843,32760,32760,-32760,35,-3,230,-11166,-8681,-9906,0,0
849664882,0.467587947845,74012,-162,-113,-889,32760,32760,-32760,35,-3,230,-11292,-8588,-9864,0,0
849676334,0.470444917679,74013,48,-230,-909,32760,32760,-32760,35,-3,230,-11292,-8588,-9864,0,0
849687785,0.482352018356,74014,32,-182,-928,32760,32760,-32760,35,-3,230,-11266,-8686,-9845,0,0
849699236,0.494360923767,74015,-55,-45,-946,32760,32760,-32760,35,-3,230,-11266,-8686,-9845,0,0
849710688,0.508162975311,74016,-62,-28,-943,32760,32760,-32760,35,-3,230,-11158,-8703,-9744,0,0
849722138,0.516113996506,74017,-110,-76,-927,32760,32760,-32760,35,-3,230,-11158,-8703,-9744,0,0
849733590,0.529452800751,74018,-140,-29,-942,32760,32760,-32760,35,-3,230,-11223,-8654,-9781,0,0
849745043,0.538959980011,74019,-142,-36,-890,32760,32760,-32760,35,-3,230,-11261,-8712,-9979,0,0
849756498,0.550865888596,74020,-36,-202,-781,32760,32760,-32760,35,-3,230,-11261,-8712,-9979,0,0
849767951,0.56173992157,74021,-6,-182,-869,32760,32760,-32760,35,-3,230,-11114,-8691,-9845,0,0
849779403,0.573117017746,74022,35,-190,-884,32760,32760,-32760,35,-3,230,-11114,-8691,-9845,0,0
849790855,0.58486700058,74023,-96,-84,-860,32760,32760,-32760,35,-3,230,-11172,-8697,-9871,0,0
849802309,0.59884095192,74024,-357,-66,-983,32760,32760,-32760,35,-3,230,-11172,-8697,-9871,1,0
849813760,0.606747865677,74025,-92,-12,-953,32760,32760,-32760,35,-3,230,-11218,-8628,-9945,1,0
849825214,0.619035959244,74026,-63,-52,-889,32760,32760,-32760,35,-3,230,-11189,-8645,-9951,1,0
849836664,0.630988836288,74027,-31,16,-963,32760,32760,-32760,35,-3,230,-11189,-8645,-9951,0,0
849848114,0.642271995544,74028,-36,-35,-1031,32760,32760,-32760,35,-3,230,-11232,-8676,-9847,1,0
849859567,0.652803897858,74029,1,-69,-904,32760,32760,-32760,35,-3,230,-11232,-8676,-9847,0,0
849871017,0.664973974228,74030,72,-104,-923,32760,32760,-32760,35,-3,230,-11117,-8662,-10052,0,0
849882470,0.675868988037,74031,-11,-84,-881,32760,32760,-32760,35,-3,230,-11117,-8662,-10052,0,0
849893921,0.689967870712,74032,7,-115,-837,32760,32760,-32760,35,-3,230,-11118,-8673,-10030,0,0
849905374,0.700057029724,74033,137,-153,-979,32760,32760,-32760,35,-3,230,-11118,-8611,-9807,0,0
849916825,0.709972858429,74034,-58,-53,-1035,32760,32760,-32760,35,-3,230,-11118,-8611,-9807,0,0
849928277,0.721899032593,74035,3,-128,-888,32760,32760,-32760,35,-3,230,-11269,-8677,-9876,0,0
849939728,0.73779296875,74036,128,-166,-874,32760,32760,-32760,35,-3,230,-11269,-8677,-9876,0,0
849951181,0.744733810425,74037,96,-245,-838,32760,32760,-32760,35,-3,230,-11275,-8623,-9954,0,0
849962632,0.756178855896,74038,169,-465,-789,32760,32760,-32760,35,-3,230,-11275,-8623,-9954,0,0
849974085,0.768183946609,74039,-1,-247,-761,32760,32760,-32760,35,-3,230,-11128,-8676,-10144,0,0
849985536,0.779279947281,74040,-16,-238,-806,32760,32760,-32760,35,-3,230,-11244,-8621,-10007,0,0
849996987,0.79160785675,74041,209,-374,-815,32760,32760,-32760,35,-3,230,-11244,-8621,-10007,0,0
850008442,0.802083969116,74042,366,-494,-945,32760,32760,-32760,35,-3,230,-11203,-8671,-9897,0,0
850019895,0.813716888428,74043,173,-451,-793,32760,32760,-32760,35,-3,230,-11203,-8671,-9897,0,0
850031347,0.833195924759,74044,204,-480,-797,32760,32760,-32760,35,-3,230,-11309,-8640,-9777,0,0
850042799,0.835873842239,74045,287,-464,-883,32760,32760,-32760,35,-3,230,-11309,-8640,-9777,0,0
850054251,0.847822904587,74046,439,-570,-1064,32760,32760,-32760,35,-3,230,-10938,-8602,-9822,0,0
850065705,0.859794855118,74047,365,-670,-1216,32760,32760,-32760,35,-3,230,-11620,-8662,-9620,0,0
850077159,0.871325016022,74048,459,-808,-1172,32760,32760,-32760,35,-3,230,-11620,-8662,-9620,0,-1
850088611,0.881806850433,74049,483,-691,-1299,32760,32760,-32760,35,-3,230,-11068,-8709,-9910,0,0
850100064,0.894352912903,74050,576,-742,-1431,32760,32760,-32760,35,-3,230,-11068,-8709,-9910,0,0
850111518,0.904831886292,74051,619,-872,-1366,32760,32760,-32760,35,-3,230,-11331,-8709,-10032,0,0
850122971,0.917093992233,74052,822,-954,-1486,32760,32760,-32760,35,-3,230,-11331,-8709,-10032,0,0
850134425,0.928459882736,74053,881,-1136,-1472,32760,32760,-32760,35,-3,230,-11346,-8755,-9775,0,0
850145878,0.939787864685,74054,993,-1155,-1547,32760,32760,-32760,35,-3,230,-11346,-8802,-9622,0,0
850157332,0.950783014297,74055,1110,-1398,-1502,32760,32760,-32760,35,-3,230,-11383,-8802,-9622,0,1
850168785,0.968037843704,74056,1259,-1421,-1530,32760,32760,-32760,35,-3,230,-11640,-8642,-9304,-1,0
850180240,0.973791837692,74057,1201,-1501,-1645,32760,32760,-32760,35,-3,230,-11640,-8642,-9304,0,0
850191694,0.984771966934,74058,1124,-1457,-1761,32760,32760,-32760,35,-3,230,-11734,-8937,-9204,0,0
850203147,0.997144937515,74059,938,-1250,-1841,32760,32760,-32760,35,-3,230,-11734,-8937,-9204,-1,1
850214602,1.00773501396,74060,753,-1348,-1886,32760,32760,-32760,35,-3,230,-11588,-9105,-9238,-2,0
850226055,1.01978492737,74061,648,-1445,-2241,32760,32760,-32760,35,-3,230,-11588,-9188,-8978,-1,0
850237511,1.03181600571,74062,-200,-1420,-2483,32760,32760,-32760,35,-3,230,-11883,-9188,-8978,-2,0
850248965,1.04378890991,74063,-596,-1754,-2833,32760,32760,-32760,35,-3,230,-11527,-9094,-8671,-2,0
850260422,1.05447101593,74064,-737,-2311,-3240,32760,32760,-32760,35,-3,230,-11527,-9094,-8671,-1,-1
850271874,1.06596589088,74065,-1264,-2671,-3792,32760,32760,-32760,35,-3,230,-12215,-9389,-8793,-2,-1
850283330,1.07726097107,74066,-1829,-3084,-4031,32760,32760,-32760,35,-3,230,-12215,-9389,-8793,-2,-1
850294783,1.08783888817,74067,-2165,-3591,-4859,32760,32760,-32760,35,-3,230,-12006,-9721,-8700,-1,-1
850306238,1.10109186172,74068,-3035,-3904,-4920,32760,32760,-32760,35,-3,230,-12006,-10041,-8333,-2,-1
850317694,1.11081290245,74069,-3363,-4634,-4949,32760,32760,-32760,35,-3,230,-12559,-10041,-8333,-1,0
850329149,1.12309980392,74070,-3162,-5196,-5172,32760,32760,-32760,35,-3,230,-12952,-9655,-8214,-1,-1
850340603,1.13499188423,74071,-3005,-6010,-5220,32760,32760,-32760,35,-3,230,-12952,-9655,-8214,-2,-1
850352056,1.14582395554,74072,-2572,-6920,-5481,32760,32760,-32760,35,-3,230,-13023,-9642,-8509,-1,-1
850363512,1.15714693069,74073,-2485,-7416,-5876,32760,32760,-32760,35,-3,230,-13023,-9642,-8509,-2,-1
850374967,1.16895985603,74074,-2630,-7650,-6061,32760,32760,-32760,35,-3,230,-12902,-10077,-9493,-1,0
850386424,1.17998600006,74075,-3458,-7428,-6491,32760,32760,-32760,35,-3,230,-12902,-10521,-10269,-2,-1
850397877,1.19296789169,74076,-5422,-7484,-6125,32760,32760,-32760,35,-3,230,-13058,-10521,-10269,-1,-1
850409334,1.20362281799,74077,-6169,-7490,-5929,32760,32760,-32760,35,-3,230,-12939,-10260,-9468,-1,0
850420788,1.21448802948,74078,-6647,-7579,-5781,32760,32760,-32760,35,-3,230,-12939,-10260,-9468,-2,-1
850432243,1.22592997551,74079,-6750,-7988,-5320,32760,32760,-32760,35,-3,230,-12783,-9129,-8409,-1,-1
850443698,1.24208903313,74080,-6386,-8602,-4991,32760,32760,-32760,35,-3,230,-12783,-9129,-8409,-1,0
850455152,1.24941396713,74081,-5768,-9214,-4596,32760,32760,-32760,35,-3,230,-11488,-8344,-8063,-1,-1
850466607,1.26083183289,74082,-4944,-9766,-5072,32760,32760,-32760,35,-3,230,-11488,-8344,-8643,-1,-1
850478061,1.27197885513,74083,-4658,-10006,-5339,32760,32760,-32760,35,-3,230,-11999,-8925,-8643,-1,0
850489515,1.28364086151,74084,-4876,-9879,-4943,32760,32760,-32760,35,-3,230,-12125,-10146,-8814,0,-1
850500970,1.29631686211,74085,-5772,-9294,-4536,32760,32760,-32760,35,-3,230,-12125,-10146,-8814,-1,0
850512427,1.3061068058,74086,-6525,-8330,-3975,32760,32760,-32760,35,-3,230,-11352,-9212,-7558,0,-1
850523881,1.31820082664,74087,-6636,-7407,-3954,32760,32760,-32760,35,-3,230,-11352,-9212,-7558,-1,0
850535337,1.33018898964,74088,-6764,-6298,-4041,32760,32760,-32760,35,-3,230,-10637,-8881,-6884,0,0
850546791,1.34005498886,74089,-6940,-5471,-3597,32760,32760,-32760,35,-3,230,-10637,-8881,-8226,0,0
850558244,1.3533308506,74090,-5278,-5000,-4364,32760,32760,-32760,35,-3,230,-9264,-8138,-8226,0,0
850569699,1.36283183098,74091,-4710,-5158,-4849,32760,32760,-32760,35,-3,230,-9547,-9347,-8149,0,0
850581151,1.37489485741,74092,-4304,-5110,-5040,32760,32760,-32760,35,-3,230,-9547,-9347,-8149,0,0
850592605,1.38642382622,74093,-3947,-4867,-4931,32760,32760,-32760,35,-3,230,-10197,-9505,-7588,0,0
850604059,1.39866781235,74094,-3456,-4684,-4511,32760,32760,-32760,35,-3,230,-10197,-9505,-7588,0,0
850615515,1.40944886208,74095,-3510,-4072,-3744,32760,32760,-32760,35,-3,230,-10728,-10230,-6798,0,0
850626969,1.42096090317,74096,-3224,-3412,-3010,32760,32760,-32760,35,-3,230,-10728,-10230,-7566,0,0
850638425,1.43250584602,74097,-2753,-3264,-2489,32760,32760,-32760,35,-3,230,-9726,-9623,-7567,0,0
850649876,1.44384694099,74098,-2713,-2977,-2371,32760,32760,-32760,35,-3,230,-9666,-9223,-7114,0,0
850661331,1.45510697365,74099,-2639,-2794,-2166,32760,32760,-32760,35,-3,230,-9666,-9223,-7114,0,0
850672783,1.46602296829,74100,-2563,-2513,-1720,32760,32760,-32760,35,-3,230,-9484,-8660,-6967,0,0
850684237,1.47780394554,74101,-2600,-1949,-1386,32760,32760,-32760,35,-3,230,-9484,-8660,-6967,0,0
850695692,1.48883986473,74102,-2506,-1276,-1193,32760,32760,-32760,35,-3,230,-10060,-8263,-7069,0,0
850707145,1.50109982491,74103,-2316,-982,-1188,32760,32760,-32760,35,-3,230,-10060,-8263,-7069,0,0
850718598,1.51177287102,74104,-1295,-869,-1085,32760,32760,-32760,35,-3,230,-10974,-8387,-7154,0,0
850730050,1.52451586723,74105,-1162,-906,-1024,32760,32760,-32760,35,-3,230,-12238,-9258,-8029,0,0
850741504,1.53568887711,74106,-1707,-844,-747,32760,32760,-32760,35,-3,230,-12238,-9258,-8029,0,0
850752957,1.54687285423,74107,-2078,-903,-209,32760,32760,-32760,35,-3,230,-12443,-9306,-8408,0,0
850764410,1.55807900429,74108,-2268,-1212,106,32760,32760,-32760,35,-3,230,-12443,-9306,-8408,0,0
850775862,1.5691139698,74109,-2282,-1558,267,32760,32760,-32760,35,-3,230,-12557,-8913,-7915,0,0
850787317,1.58098697662,74110,-2248,-1758,271,32760,32760,-32760,35,-3,230,-12557,-8913,-7915,0,0
850798770,1.59310889244,74111,-2184,-1902,248,32760,32760,-32760,35,-3,230,-12149,-8840,-7572,0,0
850810223,1.60385990143,74112,-1908,-2256,155,32760,32760,-32760,35,-3,230,-11656,-8572,-8200,0,0
850821675,1.6147608757,74113,-1709,-2699,-14,32760,32760,-32760,35,-3,230,-11656,-8572,-8200,0,0
850833126,1.62707901001,74114,-1486,-3242,-57,32760,32760,-32760,35,-3,230,-11994,-8824,-8153,0,0
850844580,1.63791394234,74115,-1592,-3399,117,32760,32760,-32760,35,-3,230,-11994,-8824,-8153,0,0
850856032,1.65220594406,74116,-1480,-3272,414,32760,32760,-32760,35,-3,230,-11401,-8283,-8001,0,0
850867487,1.66294980049,74117,-1438,-3023,515,32760,32760,-32760,35,-3,230,-11401,-8283,-8001,0,0
850878938,1.67277884483,74118,-1617,-2270,155,32760,32760,-32760,35,-3,230,-11664,-8776,-7811,0,0
850890392,1.68427681923,74119,-1689,-1384,821,32760,32760,-32760,35,-3,230,-13943,-9765,-9336,0,0
850901844,1.69670295715,74120,-1778,95,1048,32760,32760,-32760,35,-3,230,-13943,-9765,-9336,0,0
850913297,1.70679402351,74121,-1411,1458,789,32760,32760,-32760,35,-3,230,-19455,-14012,-11297,0,0
850924752,1.71778893471,74122,-1045,1447,118,32760,32760,-32760,35,-3,230,-19455,-14012,-11297,0,0
850936206,1.73100399971,74123,-574,846,-1064,32760,32760,-32760,35,-3,230,-13952,-9590,-8979,0,0
850947659,1.74102282524,74124,174,348,-1621,32760,32760,-32760,35,-3,230,-13952,-9590,-8979,0,0
850959114,1.75300884247,74125,654,-335,-1572,32760,32760,-32760,35,-3,230,-9827,-6706,-7394,0,0
850970567,1.7640209198,74126,747,-501,-1149,32760,32760,-32760,35,-3,230,-11697,-8466,-7306,0,0
850982020,1.77594995499,74127,588,-331,-534,32760,32760,-32760,35,-3,230,-11697,-8466,-7306,0,0
850993473,1.78710484505,74128,57,73,-288,32760,32760,-32760,35,-3,230,-14873,-10491,-7083,0,0
851004924,1.79958581924,74129,-680,1002,-472,32760,32760,-32760,35,-3,230,-14873,-10491,-7083,0,0
851016375,1.81012392044,74130,-1192,1638,-693,32760,32760,-32760,35,-3,230,-13156,-9148,-7487,0,0
851027829,1.8207988739,74131,-1276,2014,-1015,32760,32760,-32760,35,-3,230,-13156,-9148,-7487,0,0
851039282,1.83527779579,74132,-1091,1683,-1204,32760,32760,-32760,35,-3,230,-11820,-8100,-8360,0,-1
851050735,1.84390687943,74133,-716,1313,-1094,32760,32760,-32760,35,-3,230,-12372,-8824,-8480,0,0
851062187,1.85599589348,74134,-626,996,-1058,32760,32760,-32760,35,-3,230,-12372,-8824,-8480,0,0
851073641,1.86759281158,74135,-643,987,-858,32760,32760,-32760,35,-3,230,-12452,-8832,-8033,0,0
851085092,1.87911987305,74136,-486,877,-630,32760,32760,-32760,35,-3,230,-12452,-8832,-8033,0,0
851096547,1.89012694359,74137,-462,709,-702,32760,32760,-32760,35,-3,230,-12279,-8565,-8318,0,0
851107998,1.90316295624,74138,-360,716,-716,32760,32760,-32760,35,-3,230,-12279,-8565,-8318,0,0
851119452,1.91320085526,74139,-493,711,-747,32760,32760,-32760,35,-3,230,-12621,-8791,-8016,0,0
851130905,1.92939686775,74140,-690,1010,-688,32760,32760,-32760,35,-3,230,-13058,-9186,-7960,0,0
851142357,1.93871688843,74141,-989,1459,-715,32760,32760,-32760,35,-3,230,-13058,-9186,-7960,0,0
851153809,1.94679188728,74142,-1402,1821,-746,32760,32760,-32760,35,-3,230,-13230,-9450,-7858,0,0
851165262,1.95971298218,74143,-1931,2138,-868,32760,32760,-32760,35,-3,230,-13230,-9450,-7858,0,0
851176717,1.97010183334,74144,-2210,2411,-897,32760,32760,-32760,35,-3,230,-12901,-9263,-8890,0,0
851188170,1.98233890533,74145,-2276,2503,-736,32760,32760,-32760,35,-3,230,-12901,-9263,-8890,0,0
851199626,1.99343895912,74146,-1660,1988,-541,32760,32760,-32760,35,-3,230,-12500,-9732,-9941,0,0
851211078,2.00478291512,74147,-495,433,-707,32760,32760,-32760,35,-3,230,-13870,-10453,-10426,0,0
851222533,2.01602983475,74148,-580,446,-625,32760,32760,-32760,35,-3,230,-13870,-10453,-10426,0,0
851233986,2.02813982964,74149,-1367,1882,-560,32760,32760,-32760,35,-3,230,-14753,-10869,-10747,0,0
851245443,2.03913998604,74150,-2415,3658,-1003,32760,32760,-32760,35,-3,230,-14753,-10869,-10747,0,0
851256896,2.05088400841,74151,-3158,5073,-1729,32760,32760,-32760,35,-3,230,-13459,-10272,-9931,0,0
851268352,2.06858086586,74152,-3584,6045,-2303,32760,32760,-32760,35,-3,230,-13459,-10272,-9931,0,0
851279805,2.07468986511,74153,-3666,6586,-2488,32760,32760,-32760,35,-3,230,-11447,-8906,-9439,0,0
851291260,2.08523082733,74154,-3581,6336,-2612,32760,32760,-32760,35,-3,230,-8400,-6587,-8664,0,0
851302715,2.09630084038,74155,-3002,5068,-2716,32760,32760,-32760,35,-3,230,-8400,-6587,-8664,0,0
851314169,2.10809087753,74156,-1847,2844,-2730,32760,32760,-32760,35,-3,230,-6676,-4904,-7553,0,0
851325622,2.1191008091,74157,-772,718,-2765,32760,32760,-32760,35,-3,230,-6676,-4904,-7553,0,0
851337075,2.13111400604,74158,130,-780,-2855,32760,32760,-32760,35,-3,230,-8143,-4909,-6935,0,0
851348529,2.14226293564,74159,412,-1252,-2688,32760,32760,-32760,35,-3,230,-8143,-4909,-6935,0,0
851359983,2.1549949646,74160,141,-910,-2133,32760,32760,-32760,35,-3,230,-8868,-4874,-6503,0,0
851371438,2.16724300385,74161,-403,-458,-1729,32760,32760,-32760,35,-3,230,-9529,-5048,-7143,0,0
851382889,2.17770290375,74162,-8,-1056,-1582,32760,32760,-32760,35,-3,230,-9529,-5048,-7143,0,0
851394342,2.18786692619,74163,142,-2632,-993,32760,32760,-32760,35,-3,230,-10182,-5970,-8365,0,0
851405794,2.20065498352,74164,623,-4451,-627,32760,32760,-32760,35,-3,230,-10182,-5970,-8365,0,0
851417247,2.2119178772,74165,1645,-6185,-543,32760,32760,-32760,35,-3,230,-10717,-7004,-9073,0,0
851428700,2.22203993797,74166,2348,-7473,-689,32760,32760,-32760,35,-3,230,-10717,-7004,-9073,0,0
851440152,2.23518586159,74167,2296,-6262,-757,32760,32760,-32760,35,-3,230,-17963,-12542,-13802,0,0
851451607,2.24488401413,74168,2779,-4082,-875,32760,32760,-32760,35,-3,230,-18287,-12757,-13284,0,0
851463062,2.25728201866,74169,4417,-4142,-2504,32760,32760,-32760,35,-3,230,-18287,-12757,-13284,0,0
851474517,2.26791787148,74170,5367,-5374,-4009,32760,32760,-32760,35,-3,230,-8755,-6648,-8111,0,0
851485970,2.28193092346,74171,6868,-6681,-5090,32760,32760,-32760,35,-3,230,-8755,-6648,-8111,0,0
851497425,2.2912838459,74172,8028,-7122,-4816,32760,32760,-32760,35,-3,230,-10556,-8219,-6969,0,0
851508877,2.30237102509,74173,6714,-5541,-2890,32760,32760,-32760,35,-3,230,-10556,-8219,-6969,0,0
851520332,2.31383180618,74174,4057,-2996,-1387,32760,32760,-32760,35,-3,230,-13608,-11381,-5409,0,0
851531785,2.32593584061,74175,-2775,2163,695,32760,32760,-32760,35,-3,230,-16319,-13578,-4610,0,0
851543239,2.33739900589,74176,-5861,4704,1101,32760,32760,-32760,35,-3,230,-16319,-13578,-4610,0,0
851554693,2.34788894653,74177,-7360,6210,741,32760,32760,-32760,35,-3,230,-13327,-10300,-7051,0,0
851566146,2.36432099342,74178,-7615,6643,570,32760,32760,-32760,35,-3,230,-13327,-10300,-7051,0,0
851577600,2.3716108799,74179,-6570,5798,292,32760,32760,-32760,35,-3,230,-10272,-7002,-10350,0,0
851589054,2.38324093819,74180,-5145,4597,217,32760,32760,-32760,35,-3,230,-10272,-7002,-10350,0,0
851600508,2.39417791367,74181,-3094,2902,-15,32760,32760,-32760,35,-3,230,-10273,-6602,-11424,0,0
851611960,2.4068210125,74182,-1171,1275,-343,32760,32760,-32760,35,-3,230,-11131,-7698,-10240,0,0
851623415,2.4177069664,74183,165,37,-664,32760,32760,-32760,35,-3,230,-11131,-7698,-10240,0,0
851634866,2.42858695984,74184,972,-735,-848,32760,32760,-32760,35,-3,230,-12212,-8681,-8710,0,0
851646319,2.43992590904,74185,1323,-694,-938,32760,32760,-32760,35,-3,230,-12212,-8681,-8710,0,0
851657772,2.45160984993,74186,1030,-344,-932,32760,32760,-32760,35,-3,230,-12630,-9424,-8135,0,0
851669223,2.46281599998,74187,215,228,-894,32760,32760,-32760,35,-3,230,-12630,-9424,-8135,0,0
851680676,2.47439002991,74188,-705,902,-704,32760,32760,-32760,35,-3,230,-12548,-9427,-7935,0,0
851692128,2.48586702347,74189,-1810,1778,-535,32760,32760,-32760,35,-3,230,-11940,-8913,-8797,0,0
851703581,2.50475001335,74190,-1990,1915,-537,32760,32760,-32760,35,-3,230,-11940,-8913,-8797,0,0
851715033,2.50881886482,74191,-1911,1650,-534,32760,32760,-32760,35,-3,230,-11758,-8445,-9541,0,0
851726488,2.51997089386,74192,-1592,1468,-594,32760,32760,-32760,35,-3,230,-11758,-8445,-9541,0,0
851737939,2.53206300735,74193,-1313,958,-633,32760,32760,-32760,35,-3,230,-11650,-8274,-9821,0,0
851749393,2.54323482513,74194,-1119,620,-627,32760,32760,-32760,35,-3,230,-11650,-8274,-9821,0,0
851760845,2.55395889282,74195,-1100,567,-562,32760,32760,-32760,35,-3,230,-11746,-8205,-9609,0,0
851772299,2.56611990929,74196,-1279,549,-547,32760,32760,-32760,35,-3,230,-12146,-8694,-9019,0,0
851783752,2.57698583603,74197,-1640,1147,-627,32760,32760,-32760,35,-3,230,-12146,-8694,-9019,0,0
851795205,2.59081697464,74198,-2090,1607,-606,32760,32760,-32760,35,-3,230,-12182,-9033,-9157,0,0
851806660,2.60358285904,74199,-2514,1962,-457,32760,32760,-32760,35,-3,230,-12182,-9033,-9157,0,0
851818113,2.61185288429,74200,-2987,2268,-323,32760,32760,-32760,35,-3,230,-12056,-8708,-9218,-1,0
851829567,2.62308692932,74201,-3338,2343,-260,32760,32760,-32760,35,-3,230,-12056,-8708,-9218,-2,1
851841020,2.63586187363,74202,-3389,2419,-176,32760,32760,-32760,35,-3,230,-11185,-7770,-10189,-3,2
851852475,2.64621186256,74203,-1983,1505,-144,32760,32760,-32760,35,-3,230,-10757,-7007,-11027,-3,3
851863929,2.65782284737,74204,-792,663,-317,32760,32760,-32760,35,-3,230,-10757,-7007,-11027,-5,4
851875384,2.67045783997,74205,-22,-58,-383,32760,32760,-32760,35,-3,230,-11175,-7159,-10680,-4,4
851886835,2.68016195297,74206,600,-391,-622,32760,32760,-32760,35,-3,230,-11175,-7159,-10680,-4,4
851898288,2.69182896614,74207,1165,-455,-590,32760,32760,-32760,35,-3,230,-11548,-7578,-10136,-4,5
851909742,2.70285201073,74208,1407,-429,-661,32760,32760,-32760,35,-3,230,-11548,-7578,-10136,-2,4
851921195,2.71487593651,74209,1218,-286,-641,32760,32760,-32760,35,-3,230,-12281,-8253,-9459,-1,2
851932649,2.72662901878,74210,930,242,-670,32760,32760,-32760,35,-3,230,-12014,-8200,-9402,-1,2
851944101,2.73789095879,74211,744,754,-627,32760,32760,-32760,35,-3,230,-12014,-8200,-9402,0,1
851955553,2.74886989594,74212,645,1032,-736,32760,32760,-32760,35,-3,230,-11884,-8460,-9155,0,0
851967006,2.76161289215,74213,369,1372,-782,32760,32760,-32760,35,-3,230,-11884,-8460,-9155,0,1
851978460,2.77280783653,74214,178,1481,-644,32760,32760,-32760,35,-3,230,-11848,-8333,-10060,0,0
851989913,2.78400397301,74215,-62,1393,-324,32760,32760,-32760,35,-3,230,-11848,-8333,-10060,0,0
