Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
755224230,9.53674316406e-07,65786,-654,974,-857,32760,32760,-32760,35,-3,230,-13657,-9101,-5417,0,0
755235681,0.0114278793335,65787,-879,1152,-902,32760,32760,-32760,35,-3,230,-13657,-9101,-5417,0,0
755247133,0.0220410823822,65788,-780,978,-985,32760,32760,-32760,35,-3,230,-13228,-9036,-5400,0,0
755258584,0.036808013916,65789,-644,878,-985,32760,32760,-32760,35,-3,230,-13228,-9036,-5400,0,0
755270037,0.0474209785461,65790,-344,650,-973,32760,32760,-32760,35,-3,230,-13228,-8918,-5542,0,0
755281490,0.057079076767,65791,-107,273,-989,32760,32760,-32760,35,-3,230,-13228,-8918,-5542,0,0
755292944,0.0688469409943,65792,70,23,-1088,32760,32760,-32760,35,-3,230,-13262,-9128,-5561,0,0
755304394,0.080463886261,65793,-7,-83,-1095,32760,32760,-32760,35,-3,230,-13482,-9265,-5588,0,0
755315849,0.0920970439911,65794,269,-229,-1039,32760,32760,-32760,35,-3,230,-13482,-9265,-5588,0,0
755327302,0.10320186615,65795,175,-87,-959,32760,32760,-32760,35,-3,230,-13513,-9311,-5365,0,0
755338757,0.115405082703,65796,75,71,-1037,32760,32760,-32760,35,-3,230,-13513,-9311,-5365,0,0
755350208,0.126168012619,65797,-66,77,-876,32760,32760,-32760,35,-3,230,-13459,-9317,-5187,0,0
755361661,0.136967897415,65798,-168,191,-776,32760,32760,-32760,35,-3,230,-13459,-9317,-5187,0,0
755373113,0.148173093796,65799,-59,68,-860,32760,32760,-32760,35,-3,230,-13495,-9258,-5541,0,0
755384565,0.159995079041,65800,-37,20,-846,32760,32760,-32760,35,-3,230,-13421,-9156,-5310,0,0
755396015,0.171523094177,65801,-82,59,-724,32760,32760,-32760,35,-3,230,-13421,-9156,-5310,0,0
755407467,0.183543920517,65802,-106,44,-724,32760,32760,-32760,35,-3,230,-13452,-9149,-5515,0,0
755418919,0.1945540905,65803,-176,22,-664,32760,32760,-32760,35,-3,230,-13452,-9149,-5515,0,0
755430371,0.205945014954,65804,-150,-41,-702,32760,32760,-32760,35,-3,230,-13430,-9118,-5613,0,0
755441824,0.231029033661,65805,72,22,-869,32760,32760,-32760,35,-3,230,-13430,-9118,-5613,0,0
755453276,0.232958078384,65806,-2,2,-767,32760,32760,-32760,35,-3,230,-13507,-9143,-5355,0,0
755464728,0.242671966553,65807,-141,115,-749,32760,32760,-32760,35,-3,230,-13489,-9116,-5306,0,0
755476180,0.256176948547,65808,-209,82,-764,32760,32760,-32760,35,-3,230,-13489,-9116,-5306,0,0
755487631,0.263483047485,65809,-77,19,-862,32760,32760,-32760,35,-3,230,-13291,-9102,-5350,0,0
755499084,0.277498960495,65810,-4,-30,-918,32760,32760,-32760,35,-3,230,-13291,-9102,-5350,0,0
755510534,0.286170959473,65811,-113,-1,-960,32760,32760,-32760,35,-3,230,-13368,-9034,-5469,0,0
755521986,0.296957015991,65812,-52,-2,-964,32760,32760,-32760,35,-3,230,-13368,-9034,-5469,0,0
755533437,0.308996915817,65813,23,6,-922,32760,32760,-32760,35,-3,230,-13464,-9123,-5477,0,0
755544888,0.323297023773,65814,31,-126,-939,32760,32760,-32760,35,-3,230,-13513,-9102,-5223,0,0
755556339,0.332158088684,65815,43,-130,-1049,32760,32760,-32760,35,-3,230,-13513,-9102,-5223,0,0
755567793,0.345726966858,65816,-53,13,-1051,32760,32760,-32760,35,-3,230,-13486,-9159,-5354,0,0
755579243,0.355004072189,65817,-190,75,-892,32760,32760,-32760,35,-3,230,-13486,-9159,-5354,0,0
755590694,0.365990877151,65818,-103,38,-974,32760,32760,-32760,35,-3,230,-13508,-9128,-5332,0,0
755602145,0.37709403038,65819,9,18,-1070,32760,32760,-32760,35,-3,230,-13508,-9128,-5332,0,0
755613596,0.389106035233,65820,-11,75,-1046,32760,32760,-32760,35,-3,230,-13312,-9098,-5454,0,0
755625048,0.400070905685,65821,-124,231,-963,32760,32760,-32760,35,-3,230,-13432,-9242,-5511,0,0
755636500,0.415374994278,65822,-48,50,-1006,32760,32760,-32760,35,-3,230,-13432,-9242,-5511,0,0
755647952,0.423958063126,65823,88,-149,-975,32760,32760,-32760,35,-3,230,-13403,-9170,-5369,0,0
755659404,0.435533046722,65824,156,-122,-1058,32760,32760,-32760,35,-3,230,-13403,-9170,-5369,0,0
755670858,0.44632601738,65825,131,-145,-981,32760,32760,-32760,35,-3,230,-13476,-9237,-5175,0,0
755682312,0.457967042923,65826,2,-47,-1002,32760,32760,-32760,35,-3,230,-13476,-9237,-5175,0,0
755693766,0.469452857971,65827,-67,46,-914,32760,32760,-32760,35,-3,230,-13424,-9139,-5294,0,0
755705215,0.482604980469,65828,-150,158,-937,32760,32760,-32760,35,-3,230,-13433,-9218,-5454,0,0
755716669,0.491986989975,65829,-166,277,-936,32760,32760,-32760,35,-3,230,-13433,-9218,-5454,0,0
755728121,0.503059864044,65830,-343,419,-881,32760,32760,-32760,35,-3,230,-13467,-9224,-5037,0,0
755739574,0.515450954437,65831,-273,385,-932,32760,32760,-32760,35,-3,230,-13467,-9224,-5037,0,0
755751028,0.526129961014,65832,-170,256,-943,32760,32760,-32760,35,-3,230,-13396,-9108,-5470,0,0
755762480,0.538343906403,65833,-343,294,-845,32760,32760,-32760,35,-3,230,-13396,-9108,-5470,0,0
755773933,0.55166387558,65834,-235,283,-953,32760,32760,-32760,35,-3,230,-13510,-9121,-5256,0,0
755785387,0.561160087585,65835,-202,409,-1014,32760,32760,-32760,35,-3,230,-13369,-9189,-5289,0,0
755796841,0.573235988617,65836,-151,210,-1011,32760,32760,-32760,35,-3,230,-13369,-9189,-5289,0,0
755808293,0.584228992462,65837,-247,389,-917,32760,32760,-32760,35,-3,230,-13522,-9221,-5405,0,0
755819747,0.595063924789,65838,-190,334,-948,32760,32760,-32760,35,-3,230,-13522,-9221,-5405,0,0
755831199,0.606011867523,65839,-346,372,-921,32760,32760,-32760,35,-3,230,-13335,-9159,-5579,0,0
755842650,0.619276046753,65840,-321,391,-892,32760,32760,-32760,35,-3,230,-13335,-9159,-5579,0,0
755854103,0.62912106514,65841,-234,260,-897,32760,32760,-32760,35,-3,230,-13336,-9200,-5557,0,0
755865554,0.642282009125,65842,-124,145,-940,32760,32760,-32760,35,-3,230,-13346,-9116,-5340,0,0
755877006,0.652354001999,65843,-137,118,-936,32760,32760,-32760,35,-3,230,-13346,-9116,-5340,0,0
755888457,0.664007902145,65844,-55,-44,-941,32760,32760,-32760,35,-3,230,-13367,-9094,-5453,0,0
755899910,0.675968885422,65845,-54,40,-823,32760,32760,-32760,35,-3,230,-13367,-9094,-5453,0,0
755911360,0.689363956451,65846,40,-107,-853,32760,32760,-32760,35,-3,230,-13399,-9203,-5502,0,0
755922813,0.698256969452,65847,-16,-90,-958,32760,32760,-32760,35,-3,230,-13399,-9203,-5502,0,0
755934263,0.709975004196,65848,-125,-41,-946,32760,32760,-32760,35,-3,230,-13368,-9349,-5500,0,0
755945716,0.721145868301,65849,-276,157,-873,32760,32760,-32760,35,-3,230,-13382,-9270,-5439,0,0
755957168,0.732591867447,65850,-323,85,-884,32760,32760,-32760,35,-3,230,-13382,-9270,-5439,0,0
755968620,0.745630025864,65851,-415,69,-837,32760,32760,-32760,35,-3,230,-13511,-9153,-5652,0,0
755980071,0.755429029465,65852,-306,58,-873,32760,32760,-32760,35,-3,230,-13511,-9153,-5652,0,0
755991522,0.767534971237,65853,-253,-199,-961,32760,32760,-32760,35,-3,230,-13293,-9022,-5546,0,0
756002975,0.794053077698,65854,-149,-353,-977,32760,32760,-32760,35,-3,230,-13293,-9022,-5546,0,0
756014426,0.795383930206,65855,8,-404,-1056,32760,32760,-32760,35,-3,230,-13299,-9073,-5489,0,0
756025876,0.802370071411,65856,172,-486,-1135,32760,32760,-32760,35,-3,230,-13410,-9167,-5757,0,0
756037330,0.81340098381,65857,423,-561,-1207,32760,32760,-32760,35,-3,230,-13410,-9167,-5757,0,0
756048783,0.826755046844,65858,532,-652,-1275,32760,32760,-32760,35,-3,230,-13339,-9280,-5514,0,0
756060233,0.83730506897,65859,439,-685,-1340,32760,32760,-32760,35,-3,230,-13339,-9280,-5514,0,0
756071687,0.850069046021,65860,421,-642,-1229,32760,32760,-32760,35,-3,230,-13677,-9270,-5414,0,0
756083140,0.862058877945,65861,289,-553,-1223,32760,32760,-32760,35,-3,230,-13677,-9270,-5414,0,0
756094594,0.870418071747,65862,237,-529,-1189,32760,32760,-32760,35,-3,230,-13393,-9309,-5317,0,0
756106046,0.881799936295,65863,283,-288,-1156,32760,32760,-32760,35,-3,230,-13484,-9353,-5312,0,0
756117498,0.894378900528,65864,3,-146,-1043,32760,32760,-32760,35,-3,230,-13484,-9353,-5312,0,0
756128951,0.904128074646,65865,-121,-41,-1070,32760,32760,-32760,35,-3,230,-13587,-9401,-5174,0,0
756140403,0.916467905045,65866,-675,268,-1073,32760,32760,-32760,35,-3,230,-13587,-9401,-5174,0,0
756151858,0.92702794075,65867,-707,250,-1139,32760,32760,-32760,35,-3,230,-13669,-9450,-5411,0,0
756163312,0.939039945602,65868,-843,236,-1227,32760,32760,-32760,35,-3,230,-13669,-9450,-5411,0,0
756174765,0.950789928436,65869,-790,285,-1152,32760,32760,-32760,35,-3,230,-13464,-9393,-5687,0,0
756186217,0.965311050415,65870,-650,-23,-1260,32760,32760,-32760,35,-3,230,-13317,-9393,-5643,0,0
756197671,0.973052024841,65871,-585,-189,-1254,32760,32760,-32760,35,-3,230,-13317,-9393,-5643,0,0
756209124,0.984904050827,65872,-288,-413,-1331,32760,32760,-32760,35,-3,230,-13683,-9537,-5509,0,0
756220577,0.996093988419,65873,-11,-499,-1464,32760,32760,-32760,35,-3,230,-13683,-9537,-5509,0,0
756232029,1.00723791122,65874,264,-607,-1517,32760,32760,-32760,35,-3,230,-13725,-9309,-5852,0,0
756243480,1.01981687546,65875,437,-660,-1682,32760,32760,-32760,35,-3,230,-13725,-9309,-5852,0,0
756254933,1.02999806404,65876,337,-716,-1363,32760,32760,-32760,35,-3,230,-13876,-9060,-5860,0,0
756266387,1.04292988777,65877,334,-798,-817,32760,32760,-32760,35,-3,230,-13734,-10036,-5737,0,0
756277841,1.05650806427,65878,52,-774,-471,32760,32760,-32760,35,-3,230,-13734,-10036,-5737,0,0
756289294,1.0650639534,65879,-800,7,-424,32760,32760,-32760,35,-3,230,-13945,-10314,-6229,0,0
756300745,1.07601499557,65880,-2335,1972,-735,32760,32760,-32760,35,-3,230,-13945,-10314,-6229,0,0
756312198,1.0889980793,65881,-3050,2554,-865,32760,32760,-32760,35,-3,230,-13344,-10369,-6381,0,0
756323652,1.09963202477,65882,-3513,2693,-1101,32760,32760,-32760,35,-3,230,-13344,-10369,-6381,0,0
756335107,1.11017203331,65883,-3684,2557,-1226,32760,32760,-32760,35,-3,230,-13308,-10563,-6561,0,0
756346560,1.12340497971,65884,-3720,2173,-1090,32760,32760,-32760,35,-3,230,-13054,-10465,-6529,0,0
756358015,1.13308286667,65885,-3803,1736,-1027,32760,32760,-32760,35,-3,230,-13054,-10465,-6529,0,0
756369467,1.14626097679,65886,-3539,1316,-1081,32760,32760,-32760,35,-3,230,-12931,-10168,-6424,0,0
756380921,1.1568748951,65887,-3208,1022,-1283,32760,32760,-32760,35,-3,230,-12931,-10168,-6424,0,0
756392374,1.16825795174,65888,-2935,907,-1497,32760,32760,-32760,35,-3,230,-12826,-10071,-6093,0,0
756403827,1.17982602119,65889,-2751,917,-1827,32760,32760,-32760,35,-3,230,-12826,-10071,-6093,0,0
756415281,1.19172501564,65890,-2447,1300,-1972,32760,32760,-32760,35,-3,230,-12541,-10135,-5815,0,0
756426735,1.20389795303,65891,-2166,1698,-1955,32760,32760,-32760,35,-3,230,-12226,-10212,-6226,0,0
756438187,1.21398186684,65892,-2235,1648,-2269,32760,32760,-32760,35,-3,230,-12226,-10212,-6226,0,0
756449641,1.22527003288,65893,-2373,1730,-2483,32760,32760,-32760,35,-3,230,-12340,-10479,-5773,0,0
756461094,1.23630094528,65894,-3020,1958,-2542,32760,32760,-32760,35,-3,230,-12340,-10479,-5773,0,0
756472547,1.24855709076,65895,-3204,1876,-2559,32760,32760,-32760,35,-3,230,-11904,-10528,-5945,0,0
756484003,1.25908589363,65896,-3257,1308,-2620,32760,32760,-32760,35,-3,230,-11904,-10528,-5945,0,0
756495455,1.27128505707,65897,-3262,493,-2738,32760,32760,-32760,35,-3,230,-12137,-10498,-5562,0,0
756506908,1.28242492676,65898,-3068,-108,-2923,32760,32760,-32760,35,-3,230,-12507,-10647,-5181,0,0
756518360,1.29440689087,65899,-3240,-190,-3046,32760,32760,-32760,35,-3,230,-12507,-10647,-5181,0,0
756529815,1.30573105812,65900,-3794,165,-3263,32760,32760,-32760,35,-3,230,-13109,-10430,-6463,0,0
756541268,1.31753897667,65901,-4671,920,-3244,32760,32760,-32760,35,-3,230,-13109,-10430,-6463,0,0
756552720,1.3285548687,65902,-5969,1542,-3014,32760,32760,-32760,35,-3,230,-13309,-10171,-7147,0,0
756564173,1.33947896957,65903,-6967,2151,-2483,32760,32760,-32760,35,-3,230,-13309,-10171,-7147,0,0
756575627,1.35101509094,65904,-7531,2374,-2224,32760,32760,-32760,35,-3,230,-11463,-9442,-6461,0,0
756587081,1.36250185966,65905,-7591,1811,-1870,32760,32760,-32760,35,-3,230,-10933,-7388,-6922,0,0
756598534,1.37398886681,65906,-7333,622,-2328,32760,32760,-32760,35,-3,230,-10933,-7388,-6922,0,0
756609988,1.39193296432,65907,-6974,-1011,-2336,32760,32760,-32760,35,-3,230,-11551,-7930,-6330,0,0
756621441,1.39829301834,65908,-6222,-2342,-2125,32760,32760,-32760,35,-3,230,-11551,-7930,-6330,0,0
756632895,1.40826296806,65909,-5817,-1940,-2096,32760,32760,-32760,35,-3,230,-11714,-7736,-6929,0,0
756644347,1.42008686066,65910,-5515,-870,-2003,32760,32760,-32760,35,-3,230,-11714,-7736,-6929,0,0
756655802,1.43141698837,65911,-5569,457,-1419,32760,32760,-32760,35,-3,230,-12226,-8138,-8737,0,0
756667256,1.44361305237,65912,-5657,1200,-1071,32760,32760,-32760,35,-3,230,-11534,-7650,-9980,0,0
756678709,1.4545340538,65913,-5877,1492,-814,32760,32760,-32760,35,-3,230,-11534,-7650,-9980,0,0
756690163,1.4650080204,65914,-5918,1401,-719,32760,32760,-32760,35,-3,230,-11097,-6980,-9203,0,0
756701615,1.4778740406,65915,-5315,1335,-816,32760,32760,-32760,35,-3,230,-11097,-6980,-9203,0,0
756713069,1.48986196518,65916,-4439,1084,-1029,32760,32760,-32760,35,-3,230,-11182,-6607,-9096,0,0
756724523,1.50035500526,65917,-3197,478,-1513,32760,32760,-32760,35,-3,230,-11182,-6607,-9096,0,0
756735977,1.51227688789,65918,-2461,110,-1733,32760,32760,-32760,35,-3,230,-12404,-7062,-8984,0,0
756747430,1.52486395836,65919,-1732,41,-1826,32760,32760,-32760,35,-3,230,-13132,-7175,-9798,0,0
756758884,1.53404903412,65920,-1393,645,-1819,32760,32760,-32760,35,-3,230,-13132,-7175,-9798,0,0
756770339,1.54644489288,65921,-1342,1043,-1644,32760,32760,-32760,35,-3,230,-12590,-7470,-9602,0,0
756781793,1.55704092979,65922,-1489,1669,-747,32760,32760,-32760,35,-3,230,-12590,-7470,-9602,0,0
756793245,1.56962203979,65923,-1479,1856,-435,32760,32760,-32760,35,-3,230,-11992,-7300,-8679,0,0
756804701,1.58035492897,65924,-1139,1602,-195,32760,32760,-32760,35,-3,230,-11992,-7300,-8679,0,0
756816154,1.59107494354,65925,-508,1068,-461,32760,32760,-32760,35,-3,230,-11332,-6702,-7719,0,0
756827607,1.60315799713,65926,-191,655,-937,32760,32760,-32760,35,-3,230,-11520,-6477,-7378,0,0
756839061,1.61457109451,65927,-92,243,-1510,32760,32760,-32760,35,-3,230,-11520,-6477,-7378,0,0
756850513,1.62712287903,65928,-132,-24,-1775,32760,32760,-32760,35,-3,230,-11844,-6661,-8641,0,0
756861965,1.63771390915,65929,-77,-117,-1601,32760,32760,-32760,35,-3,230,-11844,-6661,-8641,0,0
756873417,1.65222191811,65930,-74,-57,-1493,32760,32760,-32760,35,-3,230,-11648,-6063,-8468,0,0
756884871,1.66007494926,65931,174,111,-1557,32760,32760,-32760,35,-3,230,-11648,-6063,-8468,0,0
756896325,1.67259502411,65932,458,167,-1614,32760,32760,-32760,35,-3,230,-11483,-5957,-8592,0,0
756907778,1.68345594406,65933,729,88,-1805,32760,32760,-32760,35,-3,230,-12124,-6409,-8567,0,0
756919229,1.6950340271,65934,1098,-587,-1793,32760,32760,-32760,35,-3,230,-12124,-6409,-8567,0,0
756930683,1.70656704903,65935,1360,-1372,-1822,32760,32760,-32760,35,-3,230,-12188,-6481,-9139,0,0
756942137,1.71758389473,65936,2287,-3475,-1323,32760,32760,-32760,35,-3,230,-12188,-6481,-9139,0,0
756953592,1.72936987877,65937,2667,-4124,-1112,32760,32760,-32760,35,-3,230,-13182,-7160,-9213,0,0
756965044,1.74044299126,65938,2650,-3785,-643,32760,32760,-32760,35,-3,230,-13182,-7160,-9213,0,0
756976497,1.75259900093,65939,2177,-2904,-65,32760,32760,-32760,35,-3,230,-13268,-7778,-8691,0,0
756987953,1.76300001144,65940,1665,-2120,434,32760,32760,-32760,35,-3,230,-11948,-7896,-8614,0,0
756999406,1.77504086494,65941,1466,-2054,722,32760,32760,-32760,35,-3,230,-11948,-7896,-8614,0,0
757010859,1.79279398918,65942,1502,-2226,493,32760,32760,-32760,35,-3,230,-14999,-10432,-10380,0,0
757022312,1.79803991318,65943,1500,-1960,305,32760,32760,-32760,35,-3,230,-14999,-10432,-10380,0,0
757033766,1.80926394463,65944,1125,-1144,284,32760,32760,-32760,35,-3,230,-19796,-13117,-10953,0,0
757045217,1.82016301155,65945,432,-323,-442,32760,32760,-32760,35,-3,230,-19796,-13117,-10953,0,0
757056669,1.83234596252,65946,624,-42,-1704,32760,32760,-32760,35,-3,230,-12768,-8715,-7964,0,0
757068123,1.84366202354,65947,1061,279,-2473,32760,32760,-32760,35,-3,230,-10001,-7153,-7786,0,0
757079574,1.85544991493,65948,1040,512,-2186,32760,32760,-32760,35,-3,230,-10001,-7153,-7786,0,0
757091028,1.86637091637,65949,1033,791,-1325,32760,32760,-32760,35,-3,230,-12027,-9411,-8137,0,0
757102480,1.87816691399,65950,612,632,-52,32760,32760,-32760,35,-3,230,-12027,-9411,-8137,0,0
757113933,1.88950705528,65951,-1193,919,-71,32760,32760,-32760,35,-3,230,-14907,-10512,-8602,0,0
757125385,1.90141391754,65952,-1556,902,-472,32760,32760,-32760,35,-3,230,-14907,-10512,-8602,0,0
757136838,1.91233992577,65953,-1346,693,-936,32760,32760,-32760,35,-3,230,-12391,-8071,-8506,0,0
757148291,1.9242579937,65954,-595,351,-1180,32760,32760,-32760,35,-3,230,-11048,-7276,-9328,0,0
757159744,1.9355700016,65955,66,4,-1178,32760,32760,-32760,35,-3,230,-11048,-7276,-9328,0,0
757171195,1.94601893425,65956,854,-510,-1127,32760,32760,-32760,35,-3,230,-12377,-8615,-8774,0,0
757182646,1.95809793472,65957,1010,-814,-1024,32760,32760,-32760,35,-3,230,-12377,-8615,-8774,0,0
757194098,1.96913290024,65958,876,-810,-873,32760,32760,-32760,35,-3,230,-13080,-9241,-7929,0,0
757205549,1.98233509064,65959,618,-567,-756,32760,32760,-32760,35,-3,230,-13080,-9241,-7929,0,0
757217002,1.99969696999,65960,-29,24,-673,32760,32760,-32760,35,-3,230,-12774,-8948,-7857,0,0
757228453,2.00600004196,65961,-617,363,-647,32760,32760,-32760,35,-3,230,-12252,-8609,-8356,0,0
757239907,2.01557087898,65962,-744,668,-613,32760,32760,-32760,35,-3,230,-12252,-8609,-8356,0,0
757251359,2.02736401558,65963,-959,864,-716,32760,32760,-32760,35,-3,230,-12334,-8559,-8386,0,0
757262812,2.03837394714,65964,-954,767,-584,32760,32760,-32760,35,-3,230,-12334,-8559,-8386,0,0
757274265,2.05253195763,65965,-621,425,-468,32760,32760,-32760,35,-3,230,-12335,-8519,-8694,0,0
757285717,2.06104898453,65966,-594,399,-362,32760,32760,-32760,35,-3,230,-12335,-8519,-8694,0,0
757297169,2.0721540451,65967,-687,667,-249,32760,32760,-32760,35,-3,230,-12478,-8660,-8391,0,0
757308622,2.08425402641,65968,-1024,1026,-157,32760,32760,-32760,35,-3,230,-12793,-8777,-8169,0,0
757320076,2.09582400322,65969,-1444,1419,-98,32760,32760,-32760,35,-3,230,-12793,-8777,-8169,0,0
757331530,2.10716485977,65970,-1813,1622,23,32760,32760,-32760,35,-3,230,-12406,-8275,-8670,0,0
757342984,2.11873292923,65971,-1900,1755,0,32760,32760,-32760,35,-3,230,-12406,-8275,-8670,0,0
757354436,2.1302549839,65972,-1759,1615,-177,32760,32760,-32760,35,-3,230,-12023,-7677,-9411,0,0
757365889,2.14142203331,65973,-1397,1266,-486,32760,32760,-32760,35,-3,230,-12023,-7677,-9411,0,0
757377344,2.15329694748,65974,-865,900,-606,32760,32760,-32760,35,-3,230,-12007,-7999,-9138,0,0
757388798,2.16422200203,65975,-624,554,-588,32760,32760,-32760,35,-3,230,-12664,-8539,-8608,0,0
757400250,2.17609786987,65976,-754,603,-439,32760,32760,-32760,35,-3,230,-12664,-8539,-8608,0,0
757411703,2.18881702423,65977,-1017,822,-410,32760,32760,-32760,35,-3,230,-12825,-8682,-8324,0,0
757423156,2.19817590714,65978,-1653,1296,-343,32760,32760,-32760,35,-3,230,-12825,-8682,-8324,0,0
757434610,2.21047592163,65979,-2290,1914,-228,32760,32760,-32760,35,-3,230,-12326,-7848,-9089,0,0
757446065,2.22226190567,65980,-2136,1637,-368,32760,32760,-32760,35,-3,230,-12326,-7848,-9089,0,0
757457518,2.23316788673,65981,-1673,1257,-428,32760,32760,-32760,35,-3,230,-12028,-7645,-9644,0,0
757468972,2.24449086189,65982,-1337,738,-406,32760,32760,-32760,35,-3,230,-12028,-7593,-10009,0,0
757480424,2.25677704811,65983,-937,96,-406,32760,32760,-32760,35,-3,230,-11578,-7593,-10009,0,0
757491877,2.26753902435,65984,-654,-577,-485,32760,32760,-32760,35,-3,230,-12449,-7952,-8894,0,0
757503330,2.28143405914,65985,-891,-436,-472,32760,32760,-32760,35,-3,230,-12449,-7952,-8894,0,0
757514783,2.29128694534,65986,-877,-251,-637,32760,32760,-32760,35,-3,230,-12369,-7681,-9384,0,0
757526234,2.3014190197,65987,-702,-38,-689,32760,32760,-32760,35,-3,230,-12369,-7681,-9384,0,0
757537688,2.31346893311,65988,-529,-219,-817,32760,32760,-32760,35,-3,230,-12477,-7713,-9351,0,0
757549140,2.3247089386,65989,-592,-163,-981,32760,32760,-32760,35,-3,230,-12477,-7969,-9280,0,0
757560593,2.33695101738,65990,-683,-199,-1095,32760,32760,-32760,35,-3,230,-12516,-8043,-9280,0,0
757572045,2.34738397598,65991,-844,-226,-1362,32760,32760,-32760,35,-3,230,-12168,-7930,-9394,0,0
757583497,2.35924386978,65992,-1342,-386,-1308,32760,32760,-32760,35,-3,230,-12168,-7930,-9394,0,0
757594951,2.37041187286,65993,-1945,-776,-1685,32760,32760,-32760,35,-3,230,-12136,-7909,-9526,0,0
757606405,2.38250589371,65994,-2249,-769,-1884,32760,32760,-32760,35,-3,230,-12136,-7909,-9526,0,0
757617859,2.3937830925,65995,-2367,-464,-1987,32760,32760,-32760,35,-3,230,-11406,-7270,-9725,0,0
757629312,2.40560793877,65996,-2246,-555,-2088,32760,32760,-32760,35,-3,230,-11406,-7270,-9332,0,0
757640766,2.42259788513,65997,-2228,-247,-1984,32760,32760,-32760,35,-3,230,-12278,-7645,-9332,0,0
757652219,2.42708206177,65998,-1667,-400,-1719,32760,32760,-32760,35,-3,230,-11990,-7476,-10084,0,0
757663672,2.43914008141,65999,-1173,-740,-1788,32760,32760,-32760,35,-3,230,-11990,-7476,-10084,0,0
757675127,2.45081305504,66000,-1095,-989,-1723,32760,32760,-32760,35,-3,230,-12330,-7719,-9195,0,0
757686579,2.46248197556,66001,-1038,-760,-1703,32760,32760,-32760,35,-3,230,-12330,-7719,-9195,0,0
757698033,2.47307300568,66002,-837,-311,-1461,32760,32760,-32760,35,-3,230,-12135,-7668,-9463,0,0
757709486,2.48736286163,66003,-385,-325,-1249,32760,32760,-32760,35,-3,230,-12135,-7668,-9380,0,0
757720941,2.49625205994,66004,-509,-168,-1329,32760,32760,-32760,35,-3,230,-12323,-7774,-9380,0,0
757732394,2.50807595253,66005,-458,-142,-1241,32760,32760,-32760,35,-3,230,-12043,-7595,-9639,0,0
757743846,2.51944708824,66006,-509,-311,-1431,32760,32760,-32760,35,-3,230,-12043,-7595,-9639,0,0
757755298,2.53111100197,66007,-483,-243,-1359,32760,32760,-32760,35,-3,230,-12563,-7364,-8641,0,0
757766751,2.5424489975,66008,270,25,-1116,32760,32760,-32760,35,-3,230,-12563,-7364,-8641,0,0
757778202,2.55358505249,66009,509,-168,-892,32760,32760,-32760,35,-3,230,-12359,-7693,-8964,0,0
757789655,2.56506109238,66010,563,24,-1022,32760,32760,-32760,35,-3,230,-12359,-7693,-8964,0,0
757801106,2.57607793808,66011,881,144,-1366,32760,32760,-32760,35,-3,230,-12194,-7042,-9342,0,0
757812559,2.58853006363,66012,1509,-177,-1899,32760,32760,-32760,35,-3,230,-11542,-6519,-10310,0,0
757824013,2.59905791283,66013,2619,-525,-2406,32760,32760,-32760,35,-3,230,-11542,-6519,-10310,0,0
757835465,2.6114089489,66014,3952,-1229,-2762,32760,32760,-32760,35,-3,230,-11534,-7138,-10219,0,0
757846921,2.62220907211,66015,5015,-1908,-2910,32760,32760,-32760,35,-3,230,-11534,-7138,-10219,0,0
757858374,2.63410806656,66016,5882,-2100,-3152,32760,32760,-32760,35,-3,230,-12432,-7871,-8998,0,0
757869828,2.64553904533,66017,6331,-1594,-3261,32760,32760,-32760,35,-3,230,-12432,-7871,-8998,0,0
757881283,2.65728807449,66018,6477,-1017,-3430,32760,32760,-32760,35,-3,230,-12777,-8889,-8364,0,0
757892735,2.66810393333,66019,6510,-415,-3288,32760,32760,-32760,35,-3,230,-12577,-9352,-8035,0,0
757904187,2.67912006378,66020,6052,86,-2954,32760,32760,-32760,35,-3,230,-12577,-9352,-8035,0,0
757915640,2.69108390808,66021,4198,827,-2020,32760,32760,-32760,35,-3,230,-12714,-10013,-7963,0,0
757927095,2.7024948597,66022,2867,1195,-1771,32760,32760,-32760,35,-3,230,-12714,-10013,-7963,0,0
757938549,2.71441602707,66023,1775,1818,-1499,32760,32760,-32760,35,-3,230,-12367,-9925,-7237,0,0
757950004,2.72506594658,66024,773,2381,-923,32760,32760,-32760,35,-3,230,-12367,-9925,-7237,0,0
757961455,2.73770594597,66025,4,2772,-619,32760,32760,-32760,35,-3,230,-11697,-9513,-8319,0,0
757972907,2.74842500687,66026,-242,2884,-577,32760,32760,-32760,35,-3,230,-11758,-9013,-9023,0,0
757984360,2.7600839138,66027,-406,2710,-570,32760,32760,-32760,35,-3,230,-11758,-9013,-9023,0,0
757995815,2.77131986618,66028,-441,2428,-742,32760,32760,-32760,35,-3,230,-11643,-8717,-9195,0,0
758007266,2.7867269516,66029,-356,1948,-960,32760,32760,-32760,35,-3,230,-11643,-8717,-9195,0,0
758018720,2.79404592514,66030,-108,1460,-1113,32760,32760,-32760,35,-3,230,-11612,-8589,-9632,0,0
758030172,2.80520200729,66031,284,882,-1277,32760,32760,-32760,35,-3,230,-11612,-8589,-9632,0,0
758041625,2.81760907173,66032,410,138,-982,32760,32760,-32760,35,-3,230,-11600,-8692,-9312,0,0
